WormBaseVersion_checked,Categories,Gene Set name,number_genes,Refs,Data From,Selection_criteria,decided_by,Rawdata,Comment,
,DAF/Insulin/food,down by drh-3 (ne4253) mutant,365,http://www.ncbi.nlm.nih.gov/pubmed/24681887,Table S2,,,GSE40161,,
,Mutants,Over-expressed in blastomeres compard to whole embryo,70,http://www.ncbi.nlm.nih.gov/pubmed/25487147,Table S2,,,GSE40252,,
,Mutants,"UP by mekk-3/drl-1 RNAi, pha-4 targets",133,http://www.ncbi.nlm.nih.gov/pubmed/24655420,Table S3,,,GSE40252,,
WS283,Mutants,Down in oga-1(ok1207) at L1,41,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2867743/,Supplementary data 03,p<0.05; foldchange <= -2,authors; JN,GSE40371,,
WS283,Mutants,Down in ogt-1(ok430) at L1,91,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2867743/,Supplementary data 03,p<0.05; foldchange <= -2,authors; JN,GSE40371,,
,TF Targets,down by prg-1 mutant,149,http://www.ncbi.nlm.nih.gov/pubmed/24767993,Dataset_S01,,,GSE40460,,
,Mutants,UP by prg-1 mutant,55,http://www.ncbi.nlm.nih.gov/pubmed/24767993,Table S3,,,GSE40573,,
,Mutants,zfp-1 targets,2551,http://www.ncbi.nlm.nih.gov/pubmed/23806335,Table S3,,,GSE40573,,
,Mutants,down by kin-1 mutant,363,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40809,Supplementary data,,,GSE40809,,
,Mutants,UP by crh-1 mutant (Xiao),1027,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40809,Supplementary data,,,GSE40809,,
,Mutants,UP by kin-1 mutant,522,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40809,Supplementary data,,,GSE40809,,
,Mutants,UP by ultraviolet C radiation (UVC) and EtBr at 3h,209,http://www.ncbi.nlm.nih.gov/pubmed/23374645,Supplementary data,,,GSE40809,,
,Mutants,down by virus Orsay,61,http://www.ncbi.nlm.nih.gov/pubmed/23811144,Supplementary Table 2,,,GSE41058,,
,Microbes,reduction in small RNA reads in rsd-2 late-generation,481,http://www.ncbi.nlm.nih.gov/pubmed/25258416,Supplementary Table 1,,,GSE41058,,
,TF Targets,UP by rde-1 mutant,809,http://www.ncbi.nlm.nih.gov/pubmed/23811144,Supplementary Table 3,,,GSE41058,,
,Microbes,UP by virus Orsay,53,http://www.ncbi.nlm.nih.gov/pubmed/23811144,Supplementary Table 1,,,GSE41058,,
,Other,"down by xenobiotics: Atrazine, Clofibrate, DES, Fla, beta-NF",43,http://www.ncbi.nlm.nih.gov/pubmed/16168746,Table 3,,,GSE4111,,
,Other,"UP by xenobiotics: Atrazine, Clofibrate, DES, Fla, beta-NF",46,http://www.ncbi.nlm.nih.gov/pubmed/16168746,Table1 & 2,,,GSE4111,,
,Mutants,Down pmk-1 mutant,218,http://www.ncbi.nlm.nih.gov/pubmed/23117578,RawData,,,GSE41205,,
,Mutants,UP pmk-1 mutant,1580,http://www.ncbi.nlm.nih.gov/pubmed/23117578,RawData,,,GSE41205,,
,Other,Changed in mutation-accumulation (MA) lines,730,http://www.ncbi.nlm.nih.gov/pubmed/15852004,Supplementary Table 1,,,GSE4123,,
,Other,Changed in natural isolate (NI) lines,136,http://www.ncbi.nlm.nih.gov/pubmed/15852004,Supplementary Table 2,,,GSE4123,,
,Chemicals/stress,down by male in hermaphrodites,275,http://www.ncbi.nlm.nih.gov/pubmed/24292626,"Re-analysis (fdr<0.05, at all timepoints and treatments)",,,GSE41366,,
,Chemicals/stress,UP by dichlorvos,284,http://www.ncbi.nlm.nih.gov/pubmed/23631360,"Re-analysis (fdr<0.05, at all timepoints and treatments)",,,GSE41366,,
,Chemicals/stress,down by daf-12 mutant,195,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41661,Supplementary data,,,GSE41486,,
,Mutants,down by daf-9 mutant,703,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41661,Re-analysis (fdr<0.05 & fold>=2),,,GSE41661,,
,Mutants,UP by daf-12 mutant,22,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41661,Re-analysis (fdr<0.05 & fold>=2),,,GSE41661,,
,Mutants,UP by daf-9 mutant,78,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41661,Re-analysis (fdr<0.05 & fold>=2),,,GSE41661,,
,Mutants,"UP by P. aeruginosa at 12h, proteomics",84,http://www.ncbi.nlm.nih.gov/pubmed/25569229,Re-analysis (fdr<0.05 & fold>=2),,,GSE41661,,
,Mutants,Down daf-10(m70) mutant,55,http://www.ncbi.nlm.nih.gov/pubmed/23284299,Table 2,,,GSE41943,,
,Mutants,UP daf-10 (m70),14,http://www.ncbi.nlm.nih.gov/pubmed/23284299,Table 1,,,GSE41943,,
,Microbes,"Down fed with L. rhamnosus CNCM I-3690 vs. OP50,10 days",71,http://www.ncbi.nlm.nih.gov/pubmed/23300685,Supplemental Table S3,,,GSE42192,,
,Microbes,"Down fed with L. rhamnosus CNCM I-3690 vs. OP50,3 days",758,http://www.ncbi.nlm.nih.gov/pubmed/23300685,Supplementary Material S2. ,,,GSE42192,,
,Microbes,"Down fed with L. rhamnosus CNCM I-4137 vs. OP50,10 days",69,http://www.ncbi.nlm.nih.gov/pubmed/23300685,Supplementary Material S4. ,,,GSE42192,,
,Microbes,"UP fed with L. rhamnosus CNCM I-3690 vs. OP50,10 days",37,http://www.ncbi.nlm.nih.gov/pubmed/23300685,Supplemental Table S3,,,GSE42192,,
,Microbes,"UP fed with L. rhamnosus CNCM I-3690 vs. OP50,3 days",452,http://www.ncbi.nlm.nih.gov/pubmed/23300685,Supplementary Material S2. ,,,GSE42192,,
,Microbes,"UP fed with L. rhamnosus CNCM I-4137 vs. OP50,10 days",120,http://www.ncbi.nlm.nih.gov/pubmed/23300685,Supplementary Material S4. ,,,GSE42192,,
,Microbes,UP N2 fed with CNCM I-3690 vs. I-4317,22,http://www.ncbi.nlm.nih.gov/pubmed/23300685,Table 1,,,GSE42192,,
,Chemicals/stress,Down by high acrylamide 4H,224,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by high acrylamide 8H,354,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by high cadmium 4H,393,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by high cadmium 8H,265,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by low acrylamide 4H,23,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by low acrylamide 8H,56,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by low cadmium 4H,82,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by low cadmium 8H,36,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mercury high 4H,712,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mercury high 8H,1003,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mercury low 4H,187,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mercury low 8H,61,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mercury mid 4H,528,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mercury mid 8H,461,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mid acrylamide 4H,118,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mid acrylamide 8H,220,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mid cadmium 4H,92,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,Down by mid cadmium 8H,107,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by high acrylamide 4H,291,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by high acrylamide 8H,471,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by high cadmium 4H,367,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by high cadmium 8H,640,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by low acrylamide 4H,45,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by low acrylamide 8H,56,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by low cadmium 4H,88,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by low cadmium 8H,34,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mercury high 4H,787,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mercury high 8H,1081,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mercury low 4H,255,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mercury low 8H,121,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mercury mid 4H,572,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mercury mid 8H,416,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mid acrylamide 4H,155,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mid acrylamide 8H,249,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mid cadmium 4H,269,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,Chemicals/stress,UP by mid cadmium 8H,368,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42592,RawData,,,GSE42592,,
,DAF/Insulin/food,down by arsenite at 48h,158,http://www.ncbi.nlm.nih.gov/pubmed/23534459,Table S1 (up at all timepoints),,,GSE42689,,
,DAF/Insulin/food,UP by Fasting,907,http://www.ncbi.nlm.nih.gov/pubmed/23352664,Table S1 (up at all timepoints),,,GSE42689,,
,Chemicals/stress,Down by Cu2,228,http://www.ncbi.nlm.nih.gov/pubmed/23437011,Table S2,,,GSE42703,,
,Mutants,Down by Cu2 in kgb-1 mutant,198,http://www.ncbi.nlm.nih.gov/pubmed/23437011,Table S3,,,GSE42703,,
,Chemicals/stress,Top 30 induced by Cu2+,13,http://www.ncbi.nlm.nih.gov/pubmed/23437011,Table S7,,,GSE42703,,
,Chemicals/stress,UP by Cu2,331,http://www.ncbi.nlm.nih.gov/pubmed/23437011,Table S2,,,GSE42703,,
,Mutants,UP by Cu2 in kgb-1 mutant,263,http://www.ncbi.nlm.nih.gov/pubmed/23437011,Table S3,,,GSE42703,,
,Chemicals/stress,UP by Cu2+ but unchange in kgb-1 mutant,279,http://www.ncbi.nlm.nih.gov/pubmed/23437011,Table S4,,,GSE42703,,
,TF Targets,"UP by organic methylmercury chloride (MeHgCl), 2.0 and 7.5 uM",150,http://www.ncbi.nlm.nih.gov/pubmed/24118919,Table S2,,,GSE42714,,
,Mutants,"Change with siRNA reads, coding region, 3'UTR",132,http://www.ncbi.nlm.nih.gov/pubmed/23329696,Table S7,,,GSE43207,,
,Mutants,down by flcn-1 mutant,317,http://www.ncbi.nlm.nih.gov/pubmed/23566034,Table S7,,,GSE43207,,
,Chemicals/stress,Changed by nitric oxide (NO) treatment under hsf-1 (SY441) mutant,99,http://www.ncbi.nlm.nih.gov/pubmed/23415229,Table S6,,,GSE43614,,
,Chemicals/stress,UP by nitric oxide (NO) treatment,67,http://www.ncbi.nlm.nih.gov/pubmed/23415229,Table S4,,,GSE43614,,
,Chemicals/stress,Down by Tryptophan (TRP),178,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Supp table,,,GSE43864,,
,Mutants,Down glp-1 mutant,1532,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Rawdata,,,GSE43864,,
,DAF/Insulin/food,Down nhr-114 RNAi,1035,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Rawdata,,,GSE43864,,
,DAF/Insulin/food,Down nhr-114 RNAi vs. glp-1 mutant,938,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Supp table,,,GSE43864,,
,Chemicals/stress,UP by Tryptophan (TRP),309,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Supp Table,,,GSE43864,,
,Mutants,UP glp-1 mutant,1204,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Rawdata,,,GSE43864,,
,DAF/Insulin/food,UP nhr-114 RNAi,1409,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Rawdata,,,GSE43864,,
,DAF/Insulin/food,UP nhr-114 RNAi vs. glp-1 mutant,1055,http://www.ncbi.nlm.nih.gov/pubmed/23499532,Supp table,,,GSE43864,,
,DAF/Insulin/food,Core Dietary Response Genes in Two Metabolic Mutants,87,http://www.ncbi.nlm.nih.gov/pubmed/23540702,Table S4,,,GSE43952,,
,DAF/Insulin/food,Down found to affect acdh-1,136,http://www.ncbi.nlm.nih.gov/pubmed/23540702,Table S2,,,GSE43952,,
,DAF/Insulin/food,Down metr-1 strain fed Comamonas DA1877,1215,http://www.ncbi.nlm.nih.gov/pubmed/23540702,Rawdata,,,GSE43952,,
,DAF/Insulin/food,Down pcca-1 strain fed Comamonas DA1877,990,http://www.ncbi.nlm.nih.gov/pubmed/23540702,Rawdata,,,GSE43952,,
,DAF/Insulin/food,UP found to affect acdh-1,26,http://www.ncbi.nlm.nih.gov/pubmed/23540702,Table S2,,,GSE43952,,
,DAF/Insulin/food,UP pcca-1 strain fed Comamonas DA1877,256,http://www.ncbi.nlm.nih.gov/pubmed/23540702,Rawdata,,,GSE43952,,
,DAF/Insulin/food,UP metr-1 strain fed Comamonas DA1877,356,http://www.ncbi.nlm.nih.gov/pubmed/23540702,Rawdata,,,GSE43952,,
,DAF/Insulin/food,Down Core diet response genes Comamonas DA1877,46,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S2,,,GSE43959,,
,DAF/Insulin/food,Down fed by Comamonas DA1877 vs. OP50 Gravid adult,414,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S1,,,GSE43959,,
,DAF/Insulin/food,Down fed by Comamonas DA1877 vs. OP50 Young adult,318,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S1,,,GSE43959,,
,Microbes,Down fed by E. Coli HT115 vs. OP50,43,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S1,,,GSE43959,,
,DAF/Insulin/food,UP Core diet response genes Comamonas DA1877,38,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S2,,,GSE43959,,
,DAF/Insulin/food,UP fed by Comamonas DA1877 vs. OP50 Gravid adult,1186,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S1,,,GSE43959,,
,DAF/Insulin/food,UP fed by Comamonas DA1877 vs. OP50 Young adult,71,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S1,,,GSE43959,,
,Microbes,UP fed by E. Coli HT115 vs. OP50,31,http://www.ncbi.nlm.nih.gov/pubmed/23540701,Table S1,,,GSE43959,,
,Mutants,Comman by Resveratrol Treatment widltype vs. daf-16 mutant,121,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,,,GSE4402,,
,Mutants,Down by Resveratrol daf-16 mutant,2188,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,,,GSE4402,,
,Development/Dauer/Aging,Down by Resveratrol N2,200,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,,,GSE4402,,
,Development/Dauer/Aging,Down overexpressed SIR-2.1,970,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,,,GSE4402,,
,DAF/Insulin/food,UP by Resveratrol Treatment in daf-16 mutant,1050,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,,,GSE4402,,
,Development/Dauer/Aging,UP by Resveratrol Treatment in N2,118,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,,,GSE4402,,
,Development/Dauer/Aging,UP overexpressed SIR-2.1,280,http://www.ncbi.nlm.nih.gov/pubmed/16256736,Table S1.,,,GSE4402,,
,Chemicals/stress,neuronal miRNA targets,850,http://www.ncbi.nlm.nih.gov/pubmed/23818874,Re-analysis (p-value<0.01 & fold>=1.5),,,GSE44318,,
,Chemicals/stress,UP by peptide (13L) isolated from cocoa,14,http://www.ncbi.nlm.nih.gov/pubmed/23675471,Re-analysis (p-value<0.01 & fold>=1.5),,,GSE44318,,
,Mutants,down by emr-1(gk119) mutant,353,http://www.ncbi.nlm.nih.gov/pubmed/24490688,Table S1,,,GSE44682,,
,Mutants,down by lem-2(tm1582) mutant and emr-1 RNAi,1236,http://www.ncbi.nlm.nih.gov/pubmed/24490688,Table S1,,,GSE44682,,
,Mutants,elt-3 targets,3423,http://www.ncbi.nlm.nih.gov/pubmed/24097988,Table S1,,,GSE44682,,
,Mutants,UP by emr-1(gk119) mutant,606,http://www.ncbi.nlm.nih.gov/pubmed/24490688,Table S1,,,GSE44682,,
,Mutants,UP by lem-2(tm1582) mutant,218,http://www.ncbi.nlm.nih.gov/pubmed/24490688,Table S1,,,GSE44682,,
,Mutants,UP by lem-2(tm1582) mutant and emr-1 RNAi,2599,http://www.ncbi.nlm.nih.gov/pubmed/24490688,Table S1,,,GSE44682,,
,Tissue,down in germline-ablated animals,1586,http://www.ncbi.nlm.nih.gov/pubmed/25093668,Table S2,,,GSE44702,,
,Tissue,down in gonad-ablated animals,2782,http://www.ncbi.nlm.nih.gov/pubmed/25093668,Table S4,,,GSE44702,,
,Tissue,UP in germline-ablated animals,1206,http://www.ncbi.nlm.nih.gov/pubmed/25093668,Table S2,,,GSE44702,,
,Tissue,UP in gonad-ablated animals,62,http://www.ncbi.nlm.nih.gov/pubmed/25093668,Table S4,,,GSE44702,,
,TF Targets,Co-expressed with genes that inactivations enhance exogenous RNAi,125,http://www.ncbi.nlm.nih.gov/pubmed/24352423,supplemental data,,,GSE44710,,
,TF Targets,nhr-25 targets (L1),1391,http://www.ncbi.nlm.nih.gov/pubmed/24097988,supplemental data,,,GSE44710,,
,Chemicals/stress,down by Rifampicin,81,http://www.ncbi.nlm.nih.gov/pubmed/25720500,Table S1,,,GSE45292,,
,Chemicals/stress,Germline nuclear RNAi-dependent heterochromatin,103,http://www.ncbi.nlm.nih.gov/pubmed/25534009,Table S2,,,GSE45292,,
,Mutants,"down by Cadmium under mtl-1 KO, mtl-2 (zs1) mutant",911,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29951,Table S1A,,,GSE45651,,
,Mutants,"UP by lin-35(n745), starved L1",694,http://www.ncbi.nlm.nih.gov/pubmed/23664972,Table S1A,,,GSE45651,,
,Mutants,down by dichlorvos,199,http://www.ncbi.nlm.nih.gov/pubmed/23631360,Table S3,,,GSE45678,,
,Mutants,UP in homozygous vs. heterozygous kle-2 mutant,246,http://www.ncbi.nlm.nih.gov/pubmed/24125077,Table S3,,,GSE45678,,
,TF Targets,"Targets of DEAD box (mut-14, smut-1) influenced endogenous siRNAs",2027,http://www.ncbi.nlm.nih.gov/pubmed/24684932,Dataset S2,,,GSE45871,,
,Chemicals/stress,down by Fasting,11,http://www.ncbi.nlm.nih.gov/pubmed/23352664,Supplemental Table 3 (fold>=2),,,GSE46051,,
,Chemicals/stress,down by rotenone after 10days,23,http://www.ncbi.nlm.nih.gov/pubmed/24199155,Supplemental Table 6,,,GSE46051,,
,Chemicals/stress,down by rotenone after 1day,203,http://www.ncbi.nlm.nih.gov/pubmed/24199155,Supplemental Table 4,,,GSE46051,,
,Chemicals/stress,down by rotenone after 5days,436,http://www.ncbi.nlm.nih.gov/pubmed/24199155,Supplemental Table 5,,,GSE46051,,
,Chemicals/stress,UP by rotenone after 1day,203,http://www.ncbi.nlm.nih.gov/pubmed/24199155,Supplemental Table 3 (fold>=2),,,GSE46051,,
,Chemicals/stress,UP by rotenone after 20days,39,http://www.ncbi.nlm.nih.gov/pubmed/24199155,Supplemental Table 6,,,GSE46051,,
,Chemicals/stress,UP by rotenone after 5days,36,http://www.ncbi.nlm.nih.gov/pubmed/24199155,Supplemental Table 4,,,GSE46051,,
,Chemicals/stress,"down by mec-3(e1338), PVD/OLL",410,http://www.ncbi.nlm.nih.gov/pubmed/23889932,Table S1,,,GSE46257,,
,Chemicals/stress,UP by arsenite at 48h,85,http://www.ncbi.nlm.nih.gov/pubmed/23534459,Table S1,,,GSE46257,,
,Other,down by ced-4(n1162) mutant,149,http://www.ncbi.nlm.nih.gov/pubmed/24813612,Table S1,,,GSE46291,,
,Other,UP in sleep vs. wake,432,http://www.ncbi.nlm.nih.gov/pubmed/25409030,Table S1,,,GSE46291,,
,Chemicals/stress,down by daf-16 mutant under daf-2;rsks-1 mutant,796,http://www.ncbi.nlm.nih.gov/pubmed/24332851,Table S7 (up at all timepoints),,,GSE46344,,
,Chemicals/stress,UP by 2-deoxy-D-glucose (DOG),16,http://www.ncbi.nlm.nih.gov/pubmed/24204961,Table S7 (up at all timepoints),,,GSE46344,,
,Mutants,antisense small RNA reads depleted in rde-1 mutant,85,http://www.ncbi.nlm.nih.gov/pubmed/23811144,Table S4,,,GSE46530,,
,Mutants,down by mec-3(e1338) mutant,337,http://www.ncbi.nlm.nih.gov/pubmed/23889932,Table S4,,,GSE46530,,
,Mutants,"UP by mec-3(e1338), PVD/OLL",91,http://www.ncbi.nlm.nih.gov/pubmed/23889932,Table S4,,,GSE46530,,
,TF Targets,dot-1.1 targets,2886,http://www.ncbi.nlm.nih.gov/pubmed/23806335,Table S2,,,GSE47132,,
,TF Targets,down by npr-1 (ad609) mutant,53,http://www.ncbi.nlm.nih.gov/pubmed/24586193,Table S2,,,GSE47132,,
,Development/Dauer/Aging,Down Embryo vs. Old,1031,http://www.ncbi.nlm.nih.gov/pubmed/17472752,NA,,,GSE4766,,
,Development/Dauer/Aging,Down Embryo vs. Young,1289,http://www.ncbi.nlm.nih.gov/pubmed/17472752,NA,,,GSE4766,,
,Development/Dauer/Aging,Down Young vs. Old,178,http://www.ncbi.nlm.nih.gov/pubmed/17472752,NA,,,GSE4766,,
,Development/Dauer/Aging,UP Embryo vs. Old,1001,http://www.ncbi.nlm.nih.gov/pubmed/17472752,NA,,,GSE4766,,
,Development/Dauer/Aging,UP Embryo vs. Young,1211,http://www.ncbi.nlm.nih.gov/pubmed/17472752,NA,,,GSE4766,,
,Development/Dauer/Aging,UP Young vs. Old,293,http://www.ncbi.nlm.nih.gov/pubmed/17472752,NA,,,GSE4766,,
,Mutants,down by acs-3(ft5) mutant,151,http://www.ncbi.nlm.nih.gov/pubmed/24651852,Table S3,,,GSE48605,,
,Mutants,down by cyc-1 RNAi,3338,http://www.ncbi.nlm.nih.gov/pubmed/19360127,Table S1,,,GSE48605,,
,Mutants,UP by acs-3(ft5) mutant,275,http://www.ncbi.nlm.nih.gov/pubmed/24651852,Table S2,,,GSE48605,,
,Mutants,UP by nhr-25 RNAi,524,http://www.ncbi.nlm.nih.gov/pubmed/24651852,Table S4,,,GSE48605,,
,Mutants,down by nhr-8(hd117) mutant,228,http://www.ncbi.nlm.nih.gov/pubmed/23931753,Table S1,,,GSE48675,,
,Mutants,down by nicotinic acid (NA),616,http://www.ncbi.nlm.nih.gov/pubmed/24077178,Table S1,,,GSE48675,,
,TF Targets,down by lin-54;mes-4 mutant (germline),419,http://www.ncbi.nlm.nih.gov/pubmed/24281426,Dataset_S01,,,GSE48917,,
,Other,"Cluster 1, cycling expression postembryonic",223,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 10, decreasing expression postembryonic",1928,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 11, decreasing expression postembryonic",855,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 2, cycling expression postembryonic",378,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 3, cycling expression postembryonic",114,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 4, cycling expression postembryonic",531,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 5, cycling expression postembryonic",87,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 6, cycling expression postembryonic",219,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 7, decreasing expression postembryonic",3178,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 8, increasing expression postembryonic",577,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,"Cluster 9, increasing expression postembryonic",816,http://www.ncbi.nlm.nih.gov/pubmed/24036951,Supplementary Table 1,,,GSE49043,,
,Other,down by ercc-1 mutant,588,http://www.ncbi.nlm.nih.gov/pubmed/24013725,Supplementary Table 1,,,GSE49043,,
,Mutants,"eap-1 targets G10 (spr-5 mutant, generation 10)",5677,http://www.ncbi.nlm.nih.gov/pubmed/24685137,Supplemental Data File 1 (p<0.01),,,GSE49220,,
,Mutants,prg-1 regulated,708,http://www.ncbi.nlm.nih.gov/pubmed/24696457,Supplemental Data File 1 (p<0.01 at two sensors),,,GSE49220,,
,TF Targets,down by Hydrogen sulfide (H2S),42,http://www.ncbi.nlm.nih.gov/pubmed/24093496,Table S1,,,GSE49307,,
